ID,수신자,종류,트리거,이전,이후,사유,참조번호,참조요약,KST,읽음,제목
pn-overdue-118-O1-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 10:00에 문자 「고객 의견 수렴 2차 발송」 완료하셨나요? 확인해주세요.",118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 10:30,FALSE,🔔 홍보 완료됐나요?
pn-overdue-118-O2-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 10:00에 문자 「고객 의견 수렴 2차 발송」 완료하셨나요? 확인해주세요.",118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 10:45,FALSE,🔔 홍보 완료됐나요?
pn-overdue-118-O3-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 10:00에 문자 「고객 의견 수렴 2차 발송」 완료하셨나요? 확인해주세요.",118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 11:00,FALSE,🔔 홍보 완료됐나요?
pn-overdue-118-O4-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 10:00에 문자 「고객 의견 수렴 2차 발송」 완료하셨나요? 확인해주세요.",118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 11:15,FALSE,🔔 홍보 완료됐나요?
pn-lead1h-99-L-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-1시간전,,,"Cameron Lane 09790님, 14:00에 인스타그램 「러커스더스쿨 T/O」 홍보가 예정되어 있습니다.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 13:00,FALSE,⏰ 1시간 뒤 홍보 예정
m1784088409541-jwrf,Avery Reed 08336,일반,예정→완료,예정,완료,,118,2026-07-15 문자 고객 의견 수렴 2차 발송,2026-07-15 04:06,FALSE,
pn-lead1h-98-L-Avery Reed 08336,Avery Reed 08336,일반,홍보-1시간전,,,"Avery Reed 08336님, 15:00에 문자 「러커스더스쿨 T/O」 홍보가 예정되어 있습니다.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 14:00,FALSE,⏰ 1시간 뒤 홍보 예정
pn-overdue-99-O0-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 14:00에 인스타그램 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 14:15,FALSE,🔔 홍보 완료됐나요?
pn-overdue-99-O1-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 14:00에 인스타그램 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 14:30,FALSE,🔔 홍보 완료됐나요?
pn-overdue-99-O2-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 14:00에 인스타그램 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 14:45,FALSE,🔔 홍보 완료됐나요?
pn-overdue-99-O3-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 14:00에 인스타그램 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 15:00,FALSE,🔔 홍보 완료됐나요?
pn-lead1h-100-L-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-1시간전,,,"Cameron Lane 09790님, 16:00에 블로그·맘카페 「러커스더스쿨 T/O」 홍보가 예정되어 있습니다.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 15:00,FALSE,⏰ 1시간 뒤 홍보 예정
pn-lead1h-106-L-Avery Reed 08336,Avery Reed 08336,일반,홍보-1시간전,,,"Avery Reed 08336님, 15:50에 카카오톡 「러커스더스쿨 T/O」 홍보가 예정되어 있습니다.",106,2026-07-15 카카오톡 러커스더스쿨 T/O,2026-07-15 15:00,FALSE,⏰ 1시간 뒤 홍보 예정
pn-overdue-98-O0-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 15:00에 문자 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 15:15,FALSE,🔔 홍보 완료됐나요?
pn-overdue-99-O4-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 14:00에 인스타그램 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 15:15,TRUE,🔔 홍보 완료됐나요?
pn-overdue-98-O1-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 15:00에 문자 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 15:30,FALSE,🔔 홍보 완료됐나요?
pn-overdue-98-O2-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 15:00에 문자 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 15:45,FALSE,🔔 홍보 완료됐나요?
pn-overdue-98-O3-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 15:00에 문자 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 16:00,TRUE,🔔 홍보 완료됐나요?
pn-overdue-98-O4-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 15:00에 문자 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 16:15,TRUE,🔔 홍보 완료됐나요?
pn-overdue-100-O0-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 16:00에 블로그·맘카페 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 16:15,FALSE,🔔 홍보 완료됐나요?
pn-overdue-106-O0-Avery Reed 08336,Avery Reed 08336,중요,홍보-미완료,,,"Avery Reed 08336님, 15:50에 카카오톡 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",106,2026-07-15 카카오톡 러커스더스쿨 T/O,2026-07-15 16:15,TRUE,🔔 홍보 완료됐나요?
m1784100091237-hb26,Avery Reed 08336,일반,예정→완료,예정,완료,,106,2026-07-15 카카오톡 러커스더스쿨 T/O,2026-07-15 07:21,FALSE,
m1784100105939-ai4i,Jordan Hayes 05274,일반,예정→완료,예정,완료,,99,2026-07-15 인스타그램 러커스더스쿨 T/O,2026-07-15 07:21,FALSE,
pn-overdue-100-O1-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 16:00에 블로그·맘카페 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 16:30,TRUE,🔔 홍보 완료됐나요?
m1784101007255-ixu0,Jordan Hayes 05274,일반,예정→완료,예정,완료,,98,2026-07-15 문자 러커스더스쿨 T/O,2026-07-15 07:36,FALSE,
pn-overdue-100-O2-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 16:00에 블로그·맘카페 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 16:45,FALSE,🔔 홍보 완료됐나요?
pn-overdue-100-O3-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 16:00에 블로그·맘카페 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 17:00,FALSE,🔔 홍보 완료됐나요?
pn-overdue-100-O4-Cameron Lane 09790,Cameron Lane 09790,중요,홍보-미완료,,,"Cameron Lane 09790님, 16:00에 블로그·맘카페 「러커스더스쿨 T/O」 완료하셨나요? 확인해주세요.",100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 17:15,TRUE,🔔 홍보 완료됐나요?
m1784105286414-5sg4,Jordan Hayes 05274,일반,예정→완료,예정,완료,,100,2026-07-15 블로그·맘카페 러커스더스쿨 T/O,2026-07-15 08:48,FALSE,
m1784591825722-r5kd,Jordan Hayes 05274,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,109,2026-07-22 인스타그램 그날들 T/O,2026-07-20 23:57,FALSE,
m1784591849069-9ibu,Jordan Hayes 05274,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,109,2026-07-22 인스타그램 피아노피아노 T/O,2026-07-20 23:57,FALSE,
m1784591870166-tub0,Avery Reed 08336,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,107,2026-07-22 문자 그날들 티켓오픈,2026-07-20 23:57,FALSE,
m1784591911711-282c,Avery Reed 08336,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,108,2026-07-22 카카오톡 그날들 T/O,2026-07-20 23:58,FALSE,
pn-unassigned-88-L-Avery Reed 08336,Avery Reed 08336,일반,홍보-미지정,,,오늘 10:00 카카오톡 「GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈」 홍보에 지정된 담당자가 없으니 확인해주세요.,88,2026-07-21 카카오톡 GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈,2026-07-21 09:00,TRUE,📣 담당자 미지정 홍보가 있어요
pn-unassigned-88-L-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-미지정,,,오늘 10:00 카카오톡 「GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈」 홍보에 지정된 담당자가 없으니 확인해주세요.,88,2026-07-21 카카오톡 GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈,2026-07-21 09:00,TRUE,📣 담당자 미지정 홍보가 있어요
pn-unassigned-116-L-Avery Reed 08336,Avery Reed 08336,일반,홍보-미지정,,,오늘 10:00 인스타그램 「숨: 쉬는 섬」 홍보에 지정된 담당자가 없으니 확인해주세요.,116,2026-07-21 인스타그램 숨: 쉬는 섬,2026-07-21 09:00,FALSE,📣 담당자 미지정 홍보가 있어요
pn-unassigned-116-L-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-미지정,,,오늘 10:00 인스타그램 「숨: 쉬는 섬」 홍보에 지정된 담당자가 없으니 확인해주세요.,116,2026-07-21 인스타그램 숨: 쉬는 섬,2026-07-21 09:00,TRUE,📣 담당자 미지정 홍보가 있어요
m1784592124492-9qg9,Cameron Foster 06326,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,88,2026-07-21 카카오톡 GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈,2026-07-21 00:02,TRUE,
m1784592143720-cmpi,Jordan Bennett 22946,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,116,2026-07-21 인스타그램 숨: 쉬는 섬,2026-07-21 00:02,FALSE,
pn-lead1h-88-L-Avery Reed 08336,Avery Reed 08336,일반,홍보-1시간전,,,"Avery Reed 08336님, 10:00에 카카오톡 「GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈」 홍보가 예정되어 있습니다.",88,2026-07-21 카카오톡 GS칼텍스 예울마루 기획전시 <숨:쉬는 SUM> 오픈,2026-07-21 09:16,FALSE,⏰ 1시간 뒤 홍보 예정
pn-lead1h-116-L-Cameron Lane 09790,Cameron Lane 09790,일반,홍보-1시간전,,,"Cameron Lane 09790님, 10:00에 인스타그램 「숨: 쉬는 섬」 홍보가 예정되어 있습니다.",116,2026-07-21 인스타그램 숨: 쉬는 섬,2026-07-21 09:16,TRUE,⏰ 1시간 뒤 홍보 예정
m1784594176001-9z0l,Jordan Hayes 05274,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,109,2026-07-22 인스타그램 피아노피아노 T/O,2026-07-21 00:36,FALSE,
m1784594201298-6dv4,Jordan Hayes 05274,일반,변경,예정,예정,관리자가 신청 내용을 변경했어요,109,2026-07-22 인스타그램 피아노피아노 T/O,2026-07-21 00:36,FALSE,
